landscape_unit_id,watersystem_code,watersystem_name,unit_basin_code,gsi_landform_class,available_area_m2,available_area_km2,available_share_known,available_share_basin,landform_coverage_ratio,resolution_m,source,selection_inference_ready
B_140013_17_LF_CLASS::水部,140013,,17,水部,120600.0,0.1206,0.00733540946912559,0.007334874102907189,0.9999270161780806,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140013_19_LF_CLASS::山地斜面等,140013,,19,山地斜面等,1003700.0,1.0037,0.6792772062804547,0.3807229829685544,0.5604824944050374,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140013_19_LF_CLASS::台地・段丘,140013,,19,台地・段丘,49400.0,0.0494,0.0334325933946941,0.018738383340287525,0.5604824944050374,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140013_19_LF_CLASS::氾濫平野・海岸平野,140013,,19,氾濫平野・海岸平野,421100.0,0.4211,0.28498917162966975,0.1597314417934226,0.5604824944050374,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140013_19_LF_CLASS::水部,140013,,19,水部,3400.0,0.0034,0.0023010286951813752,0.0012896863027728256,0.5604824944050374,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_311_LF_CLASS::水部,830303,,311,水部,300.0,0.0003,1.0,1.0,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_343_LF_CLASS::水部,830303,,343,水部,5400.0,0.0054,1.0,1.0,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_345_LF_CLASS::自然堤防,830303,,345,自然堤防,1042200.0,1.0422,0.21080523473371224,0.18097520316732651,0.8584948253108287,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_345_LF_CLASS::氾濫平野・海岸平野,830303,,345,氾濫平野・海岸平野,3571600.0,3.5716,0.7224256154048423,0.620198652497048,0.8584948253108287,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_345_LF_CLASS::水部,830303,,345,水部,330100.0,0.3301,0.06676914986144541,0.057320969646454126,0.8584948253108287,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_346_LF_CLASS::自然堤防,830303,,346,自然堤防,215700.0,0.2157,0.6481370192307693,0.4271287128712871,0.659009900990099,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_346_LF_CLASS::氾濫平野・海岸平野,830303,,346,氾濫平野・海岸平野,21200.0,0.0212,0.06370192307692307,0.04198019801980198,0.659009900990099,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_346_LF_CLASS::水部,830303,,346,水部,95900.0,0.0959,0.2881610576923077,0.1899009900990099,0.659009900990099,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_347_LF_CLASS::自然堤防,830303,,347,自然堤防,1348900.0,1.3489,0.2685874716259806,0.23376195757659782,0.8703382781089699,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_347_LF_CLASS::氾濫平野・海岸平野,830303,,347,氾濫平野・海岸平野,3074000.0,3.074,0.6120823543467007,0.5327187023429918,0.8703382781089699,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_347_LF_CLASS::旧河道,830303,,347,旧河道,124300.0,0.1243,0.02475010951375891,0.021540967697213365,0.8703382781089699,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_347_LF_CLASS::水部,830303,,347,水部,467200.0,0.4672,0.0930269602962845,0.08096492444197975,0.8703382781089699,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_347_LF_CLASS::旧水部,830303,,347,旧水部,7800.0,0.0078,0.0015531042172752976,0.001351726050187162,0.8703382781089699,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_388_LF_CLASS::自然堤防,830303,,388,自然堤防,20100.0,0.0201,0.0040655339805825245,0.003895197860548041,0.9581023991318166,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_388_LF_CLASS::砂州・砂丘,830303,,388,砂州・砂丘,919500.0,0.9195,0.18598300970873785,0.1781907677996977,0.9581023991318166,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_388_LF_CLASS::氾濫平野・海岸平野,830303,,388,氾濫平野・海岸平野,3438900.0,3.4389,0.6955703883495146,0.6664276578427193,0.9581023991318166,10.0,GSI_natural_landform_GeoJSON_rasterized,True
