gsi_landform_class,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,phase_code,phase_order,coverage_threshold
砂州・砂丘,21,11.251753130209341,1.8663758222368048,0.8714606652717936,2.9061392597709834,He,6,0.9
砂州・砂丘,21,11.220768721961765,1.8715295288902898,0.8752694659084461,2.9193987101212895,He,6,0.95
砂州・砂丘,21,11.187763553062826,1.877050752851397,0.8793377624157653,2.9335693894881993,He,6,0.99
自然堤防,15,10.947049982608135,1.3702321651797418,0.4372923659823634,1.2249622281132844,He,6,0.9
自然堤防,15,9.15327560328443,1.6387576043943892,0.6831777416073171,1.9325215831136968,He,6,0.95
自然堤防,13,7.661147053969858,1.696873837353592,0.7261155640875926,1.9288615656823473,He,6,0.99
落堀,0,9.332653086619e-4,0,-0.0026903244591422954,-0.030549391297731286,He,6,0.9
凹地・浅い谷,7,21.95493953303038,0.31883485670587997,-1.582070336492537,-3.191674095200126,Me,7,0.9
凹地・浅い谷,5,19.48921391946372,0.2565521637076671,-1.861718215126502,-3.282068667472095,Me,7,0.95
凹地・浅い谷,4,18.419763676218086,0.21715805209620762,-2.071897161758852,-3.3598208113830887,Me,7,0.99
台地・段丘,355,257.05171303284567,1.3810450660355593,0.4649874240709171,6.1092316599936884,Me,7,0.9
台地・段丘,324,232.1282773159294,1.3957799702232403,0.4801920028066913,6.0300072693371805,Me,7,0.95
