place_id,weight_set,w_presence,w_run,w_gapfree,continuity_index,rank_desc,top_n,top_fraction_flag
13115003700,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13117004700,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13118001100,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13119004100,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13119012200,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13119013400,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13120009100,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13120012900,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13201014300,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13201015800,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13201027200,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13201027600,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13201030500,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13201032700,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13201034000,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13201036800,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13201041000,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13201041500,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13201041900,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
