fid,JASID,SiteName,Lon,Lat,P,J,Y,K,N,H,M,Alt,属性1
"163","11202508600",小堤山遺跡,139.3327129,36.09607737,"0","0","0","0","0","1","1",82.8000030517578,丘陵地
"164","11207000100",,139.08783,36.060669,"0","1","0","1","0","0","0",188.399993896484,台地段丘
"165","11207000200",,139.0831592,36.0640362,"0","1","0","0","0","0","0",171.899993896484,台地段丘
"166","11207000300",,139.08783,36.060669,"0","0","0","1","0","0","0",188.399993896484,台地段丘
"167","11207000400",,139.08783,36.060669,"0","1","0","0","0","0","0",188.399993896484,台地段丘
"168","11207000500",氷雨塚,139.08783,36.060669,"0","0","0","1","0","0","0",188.399993896484,台地段丘
"169","11207000600",,139.055664,36.037685,"0","0","0","1","0","0","0",233.899993896484,丘陵地
"170","11207000700",,139.055664,36.037685,"0","1","0","0","0","0","0",233.899993896484,丘陵地
"171","11207000800",諏訪遺跡,139.055664,36.037685,"0","1","0","0","0","0","0",233.899993896484,丘陵地
"172","11207000900",小前田遺跡,139.055664,36.037685,"0","0","0","1","1","1","0",233.899993896484,丘陵地
"173","11207001000",,139.1031066,36.04932354,"0","0","0","1","0","0","0",185.399993896484,
"174","11207001100",,139.055664,36.037685,"0","0","0","1","0","0","0",233.899993896484,丘陵地
"175","11207001200",金山遺跡,139.1111674,36.04540559,"0","1","0","0","0","1","0",320.399993896484,山地
"176","11207001300",,139.0842288,36.02688307,"0","0","0","1","0","0","0",203,丘陵地
"177","11207001400",,139.0884289,36.03588468,"0","1","0","1","0","0","0",203.5,丘陵地
"178","11207001500",,139.1058875,36.03638725,"0","1","0","0","0","0","0",183.399993896484,台地段丘
"179","11207001600",台の入遺跡,139.1115837,36.03529011,"0","1","0","0","0","0","0",220,台地段丘
"180","11207001701",大野原古墳群,139.100632,36.04148054,"0","0","0","1","0","0","0",183.699996948242,台地段丘
"181","11207001702",大野原古墳群,139.100323,36.04039786,"0","0","0","1","0","0","0",186.600006103516,台地段丘
"182","11207001703",大野原古墳群３号墳,139.1036876,36.03656673,"0","0","0","1","0","0","0",190.399993896484,台地段丘
