"JASID","自治体コード","遺跡名","緯度","経度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
13101002600,13101,"千代田区№26遺跡",35.69560776,139.7661052,"0","0","0","0","0","0","0","1","0"
13101002700,13101,"千代田区№27遺跡",35.66994487,139.7569037,"0","0","0","0","0","0","0","1","0"
13101002800,13101,"江戸城外堀跡",35.67075371,139.748561,"0","0","0","0","0","0","0","1","0"
13101002900,13101,"大手町一丁目遺跡",35.68849034,139.7647658,"0","0","0","0","0","0","0","1","0"
13101003000,13101,"千代田区№30遺跡",35.68592491,139.7700186,"0","0","0","0","0","0","0","1","0"
13101003100,13101,"千代田区№31遺跡",35.68965024,139.7517137,"0","0","0","0","0","0","0","1","0"
13101003200,13101,"千代田区№32遺跡",35.69116723,139.7593756,"0","0","0","0","0","0","0","1","0"
13101003300,13101,"雉子橋関連遺跡",35.69325849,139.7555304,"0","0","0","0","0","0","0","1","0"
13101003500,13101,"千代田区№35遺跡",35.6801245,139.7449217,"0","0","0","0","0","0","0","1","0"
13101003600,13101,"千代田区№36遺跡",35.70110099,139.7719215,"0","0","0","0","0","0","0","1","0"
13101003700,13101,"永田町一丁目遺跡",35.67343119,139.7464324,"0","0","0","0","0","0","0","1","0"
13101003800,13101,"千代田区№38遺跡",35.68912043,139.7515764,"0","0","0","0","0","0","0","1","0"
13101003900,13101,"千代田区№39遺跡",35.67122785,139.7453681,"0","0","0","0","0","0","0","1","0"
13101004000,13101,"千代田区№40遺跡",35.68757014,139.7624312,"0","0","0","0","0","0","0","1","0"
13101004100,13101,"平河町遺跡",35.67928786,139.7401839,"0","1","1","1","0","0","1","1","0"
13101004200,13101,"紀尾井町遺跡",35.68084957,139.7371627,"1","1","1","0","0","0","1","1","0"
13101004300,13101,"弥勒寺跡",35.69349859,139.7781414,"0","0","0","0","0","0","0","1","0"
13101004400,13101,"千代田区№44遺跡",35.67886955,139.7383986,"0","0","0","0","0","0","0","1","0"
13101004500,13101,"平河町1-4遺跡",35.68238336,139.7386046,"0","0","1","0","0","0","0","1","0"
13101004600,13101,"四番町11遺跡",35.68900116,139.7395133,"0","0","0","0","0","0","0","1","0"
13101004700,13101,"和泉伯太藩・武蔵岡部藩上屋敷跡",35.67647114,139.7407675,"0","0","0","0","0","0","0","1","0"
13101004800,13101,"東神田1-5遺跡",35.69405625,139.779961,"0","0","0","0","0","0","0","1","0"
13101004900,13101,"一番町遺跡",35.68690979,139.739685,"0","1","1","0","0","0","0","1","0"
13101005000,13101,"四谷見附跡",35.68610111,139.7315483,"0","0","0","0","0","0","0","1","0"
13101005100,13101,"千代田区№51遺跡",35.681561,139.767197,"0","0","0","0","0","0","1","0","0"
13101005200,13101,"丸の内三丁目遺跡",35.67714047,139.7638732,"0","0","0","0","0","0","0","1","0"
13101005300,13101,"千代田区№53遺跡",35.67529979,139.7607833,"0","0","0","0","0","0","1","1","0"
13101005400,13101,"千代田区№54遺跡",35.69330341,139.7803043,"0","0","0","0","0","0","0","1","0"
13101005500,13101,"隼町遺跡",35.68310842,139.7426901,"0","1","0","0","0","0","0","1","0"
13101005600,13101,"三番町遺跡",35.69089728,139.7464141,"0","1","1","0","0","0","0","1","0"
13101005700,13101,"尾張藩麹町邸跡",35.68314519,139.7324409,"0","1","0","0","0","0","0","1","0"
